cod_munic;munic;ano;mes;pop
3304110;Porto Real;2006;9;14700
3304128;Quatis;2006;9;11959
3304144;Queimados;2006;9;131609
3304151;Quissamã;2006;9;17418
3304201;Resende;2006;9;113691
3304300;Rio Bonito;2006;9;53228
3304409;Rio Claro;2006;9;16956
3304508;Rio das Flores;2006;9;8189
3304524;Rio das Ostras;2006;9;70310
3304557;Rio de Janeiro;2006;9;6138999
3304607;Santa Maria Madalena;2006;9;10380
3304706;Santo Antônio de Pádua;2006;9;39851
3304805;São Fidélis;2006;9;37252
3304755;São Francisco de Itabapoana;2006;9;41274
3304904;São Gonçalo;2006;9;956622
3305000;São João da Barra;2006;9;30705
3305109;São João de Meriti;2006;9;455126
3305133;São José de Ubá;2006;9;6771
3305158;São José do Vale do Rio Preto;2006;9;19872
3305208;São Pedro da Aldeia;2006;9;77464
3305307;São Sebastião do Alto;2006;9;8703
3305406;Sapucaia;2006;9;17383
3305505;Saquarema;2006;9;64990
3305554;Seropédica;2006;9;72955
3305604;Silva Jardim;2006;9;21317
3305703;Sumidouro;2006;9;14618
3305752;Tanguá;2006;9;28849
3305802;Teresópolis;2006;9;153391
3305901;Trajano de Moraes;2006;9;10192
3306008;Três Rios;2006;9;75294
3306107;Valença;2006;9;69669
3306156;Varre-Sai;2006;9;8818
3306206;Vassouras;2006;9;33244
3306305;Volta Redonda;2006;9;251653
3300100;Angra dos Reis;2006;10;148586
3300159;Aperibé;2006;10;9328
3300209;Araruama;2006;10;100022
3300225;Areal;2006;10;10826
3300233;Armação dos Búzios;2006;10;23595
3300258;Arraial do Cabo;2006;10;26209
3300308;Barra do Piraí;2006;10;92375
3300407;Barra Mansa;2006;10;175132
3300456;Belford Roxo;2006;10;455947
3300506;Bom Jardim;2006;10;24292
3300605;Bom Jesus do Itabapoana;2006;10;34742
3300704;Cabo Frio;2006;10;161271
3300803;Cachoeiras de Macacu;2006;10;52050
3300902;Cambuci;2006;10;14768
3301009;Campos dos Goytacazes;2006;10;441589
3301108;Cantagalo;2006;10;19832
